ID,group,water_depth,date,days,length_cm
T2-9,T2,0.5,7/8/2014,28,2.798
T3-1,T3,1,10/7/2014,1,0.888
T3-2,T3,1,10/7/2014,1,0.995
T3-3,T3,1,10/7/2014,1,0.719
T3-4,T3,1,10/7/2014,1,0.911
T3-5,T3,1,10/7/2014,1,0.812
T3-6,T3,1,10/7/2014,1,0.663
T3-7,T3,1,10/7/2014,1,0.808
T3-8,T3,1,10/7/2014,1,0.961
T3-9,T3,1,10/7/2014,1,0.813
T3-10,T3,1,10/7/2014,1,0.747
T3-11,T3,1,10/7/2014,1,0.707
T3-12,T3,1,10/7/2014,1,0.871
T3-1,T3,1,18/7/2014,8,1.415
T3-2,T3,1,18/7/2014,8,1.205
T3-3,T3,1,18/7/2014,8,1.453
T3-4,T3,1,18/7/2014,8,1.32
T3-5,T3,1,18/7/2014,8,1.465
T3-6,T3,1,18/7/2014,8,1.401
T3-7,T3,1,18/7/2014,8,1.507
T3-8,T3,1,18/7/2014,8,1.439
T3-9,T3,1,18/7/2014,8,1.374
T3-10,T3,1,18/7/2014,8,1.845
T3-11,T3,1,18/7/2014,8,1.55
T3-12,T3,1,18/7/2014,8,1.697
T3-1,T3,1,25/7/2014,15,1.862
T3-2,T3,1,25/7/2014,15,2.137
T3-3,T3,1,25/7/2014,15,2.038
T3-4,T3,1,25/7/2014,15,1.974
T3-5,T3,1,25/7/2014,15,1.846
T3-6,T3,1,25/7/2014,15,2.08
T3-7,T3,1,25/7/2014,15,2.183
T3-8,T3,1,25/7/2014,15,1.922
T3-9,T3,1,25/7/2014,15,1.922
T3-10,T3,1,25/7/2014,15,2.317
T3-11,T3,1,25/7/2014,15,2.12
T3-12,T3,1,25/7/2014,15,1.893
T3-1,T3,1,31/7/2014,21,2.341
T3-2,T3,1,31/7/2014,21,2.255
T3-3,T3,1,31/7/2014,21,2.777
T3-4,T3,1,31/7/2014,21,2.655
T3-5,T3,1,31/7/2014,21,2.404
T3-6,T3,1,31/7/2014,21,2.606
T3-7,T3,1,31/7/2014,21,2.749
T3-8,T3,1,31/7/2014,21,2.541
T3-9,T3,1,31/7/2014,21,2.649
T3-10,T3,1,31/7/2014,21,2.845
T3-11,T3,1,31/7/2014,21,2.837
T3-12,T3,1,31/7/2014,21,2.542
T3-1,T3,1,7/8/2014,28,2.451
T4-1,T4,2,10/7/2014,1,0.811
T4-2,T4,2,10/7/2014,1,0.842
T4-3,T4,2,10/7/2014,1,0.748
T4-4,T4,2,10/7/2014,1,0.749
T4-5,T4,2,10/7/2014,1,0.844
T4-7,T4,2,10/7/2014,1,0.856
T4-8,T4,2,10/7/2014,1,0.785
T4-9,T4,2,10/7/2014,1,0.755
T4-10,T4,2,10/7/2014,1,0.767
T4-11,T4,2,10/7/2014,1,0.794
T4-12,T4,2,10/7/2014,1,0.854
T4-1,T4,2,18/7/2014,8,1.092
T4-2,T4,2,18/7/2014,8,1.598
T4-3,T4,2,18/7/2014,8,2.106
T4-4,T4,2,18/7/2014,8,1.973
T4-5,T4,2,18/7/2014,8,1.314
T4-7,T4,2,18/7/2014,8,1.75
T4-8,T4,2,18/7/2014,8,1.184
T4-9,T4,2,18/7/2014,8,1.703
T4-10,T4,2,18/7/2014,8,1.464
T4-11,T4,2,18/7/2014,8,1.93
T4-12,T4,2,18/7/2014,8,1.596
